날짜,요일,날씨,총계,평균기온(℃),강수량(mm)
01-01,월,맑음,2316,-1.3,0.0
01-02,화,구름 조금,988,-1.8,1.25
01-03,수,구름 조금,694,-4.7,1.25
01-04,목,흐림,671,-4.7,6.5
01-05,금,구름 조금,758,-3.0,1.25
01-06,토,맑음,1935,-2.8,0.0
01-07,일,흐림,1881,-0.8,6.5
01-08,월,흐림,634,1.3,0.0
01-09,화,구름 많음,523,-4.2,0.0
01-10,수,구름 조금,382,-7.5,0.0
01-11,목,맑음,312,-11.1,0.0
01-12,금,맑음,228,-10.2,0.0
01-13,토,맑음,1015,-4.4,0.0
01-14,일,구름 많음,1654,0.6,0.0
01-15,월,구름 조금,645,4.7,0.0
01-16,화,비,699,3.5,0.0
01-17,수,구름 조금,631,4.5,1.25
01-18,목,구름 많음,1503,2.1,0.0
01-19,금,맑음,918,1.0,0.0
01-20,토,구름 조금,2083,2.2,1.25
01-21,일,구름 많음,2123,0.4,0.0
01-22,월,눈,852,0.2,0.0
01-23,화,맑음,363,-11.7,0.0
01-24,수,맑음,128,-14.2,0.0
01-25,목,맑음,162,-14.0,0.0
01-26,금,맑음,222,-14.8,0.0
01-27,토,구름 조금,655,-9.9,1.25
01-28,일,구름 조금,962,-6.3,1.25
01-29,월,맑음,409,-8.5,0.0
01-30,화,구름 많음,9660,-5.3,0.0
01-31,수,구름 많음,585,-2.6,0.0
02-01,목,맑음,679,-4.0,0.0
02-02,금,구름 많음,704,-2.4,0.0
02-03,토,구름 조금,1049,-7.3,0.0
02-04,일,맑음,790,-9.5,0.0
02-05,월,맑음,348,-9.4,0.0
02-06,화,구름 조금,369,-10.1,1.25
02-07,수,구름 많음,418,-8.0,0.0
02-08,목,맑음,724,-4.4,0.0
02-09,금,맑음,657,0.4,0.0
02-10,토,맑음,1861,-0.5,0.0
02-11,일,눈,1159,-6.1,0.0
02-12,월,구름 많음,499,-5.8,0.0
02-13,화,맑음,725,-0.8,0.0
02-14,수,맑음,810,3.5,0.0
02-15,목,구름 조금,1765,-0.7,1.25
02-16,금,맑음,3007,-1.1,0.0
02-17,토,맑음,3590,-3.0,0.0
02-18,일,구름 많음,3370,-0.4,0.0
02-19,월,구름 많음,1558,1.8,0.0
02-20,화,구름 조금,1243,0.9,1.25
02-21,수,구름 조금,1169,-0.9,1.25
02-22,목,구름 많음,1348,1.3,0.0
02-23,금,구름 조금,1079,4.2,0.0
02-24,토,구름 많음,3362,2.4,0.0
02-25,일,맑음,6139,1.9,0.0
02-26,월,구름 조금,2252,3.1,1.25
02-27,화,흐림,1517,4.2,6.5
02-28,수,비,626,4.6,0.0
03-01,목,맑음,3290,13.70737018425461,0.0
03-02,금,맑음,1500,13.70737018425461,0.0
03-03,토,구름 많음,14540,13.70737018425461,0.0
03-04,일,흐림,3619,-0.2,0.0
03-05,월,구름 조금,1049,-0.7,1.25
03-06,화,구름 조금,1751,7.9,0.0
03-07,수,구름 많음,1434,9.8,0.0
03-08,목,흐림,604,5.5,0.0
03-09,금,구름 조금,1366,4.5,1.25
03-10,토,구름 조금,10723,6.4,0.0
03-11,일,구름 조금,14512,4.6,0.0
03-12,월,맑음,1555,4.5,0.0
03-13,화,구름 조금,1819,4.6,1.25
03-14,수,구름 조금,3032,6.4,1.25
