,날짜,요일,날씨,유료합계,무료합계,총계,평균기온(℃),강수량(mm)
0,2018-01-01,월,맑음,1688,628,2316,-1.3,
1,2018-01-02,화,구름 조금,403,585,988,-1.8,
2,2018-01-03,수,구름 조금,192,502,694,-4.7,
3,2018-01-04,목,흐림,165,506,671,-4.7,
4,2018-01-05,금,구름 조금,189,569,758,-3.0,
5,2018-01-06,토,맑음,968,967,1935,-2.8,
6,2018-01-07,일,흐림,922,959,1881,-0.8,
7,2018-01-08,월,흐림,193,441,634,1.3,0.9
8,2018-01-09,화,구름 많음,115,408,523,-4.2,0.5
9,2018-01-10,수,구름 조금,70,312,382,-7.5,0.3
10,2018-01-11,목,맑음,43,269,312,-11.1,
11,2018-01-12,금,맑음,52,176,228,-10.2,0.0
12,2018-01-13,토,맑음,350,665,1015,-4.4,0.4
13,2018-01-14,일,구름 많음,839,815,1654,0.6,
14,2018-01-15,월,구름 조금,225,420,645,4.7,0.2
15,2018-01-16,화,비,150,549,699,3.5,0.0
16,2018-01-17,수,구름 조금,196,435,631,4.5,
17,2018-01-18,목,구름 많음,989,514,1503,2.1,0.0
18,2018-01-19,금,맑음,334,584,918,1.0,
19,2018-01-20,토,구름 조금,1138,945,2083,2.2,
20,2018-01-21,일,구름 많음,1234,889,2123,0.4,
21,2018-01-22,월,눈,311,541,852,0.2,3.3
22,2018-01-23,화,맑음,67,296,363,-11.7,
23,2018-01-24,수,맑음,18,110,128,-14.2,
24,2018-01-25,목,맑음,23,139,162,-14.0,
25,2018-01-26,금,맑음,50,172,222,-14.8,
26,2018-01-27,토,구름 조금,247,408,655,-9.9,
27,2018-01-28,일,구름 조금,457,505,962,-6.3,
28,2018-01-29,월,맑음,87,322,409,-8.5,
29,2018-01-30,화,구름 많음,9203,457,9660,-5.3,2.9
30,2018-01-31,수,구름 많음,151,434,585,-2.6,0.0
31,2018-02-01,목,맑음,194,485,679,-4.0,
32,2018-02-02,금,구름 많음,152,552,704,-2.4,
33,2018-02-03,토,구름 조금,415,634,1049,-7.3,0.5
34,2018-02-04,일,맑음,281,509,790,-9.5,
35,2018-02-05,월,맑음,66,282,348,-9.4,
36,2018-02-06,화,구름 조금,60,309,369,-10.1,
37,2018-02-07,수,구름 많음,78,340,418,-8.0,
38,2018-02-08,목,맑음,177,547,724,-4.4,
39,2018-02-09,금,,172,485,657,0.4,
40,2018-02-10,토,,907,954,1861,-0.5,
41,2018-02-11,일,눈,544,615,1159,-6.1,0.0
42,2018-02-12,월,구름 많음,120,379,499,-5.8,0.0
43,2018-02-13,화,맑음,195,530,725,-0.8,
44,2018-02-14,수,,354,456,810,3.5,
45,2018-02-15,목,구름 조금,1193,572,1765,-0.7,
46,2018-02-16,금,맑음,2331,676,3007,-1.1,
47,2018-02-17,토,맑음,2617,973,3590,-3.0,
48,2018-02-18,일,구름 많음,2111,1259,3370,-0.4,
49,2018-02-19,월,구름 많음,767,791,1558,1.8,
50,2018-02-20,화,구름 조금,561,682,1243,0.9,
51,2018-02-21,수,구름 조금,465,704,1169,-0.9,
52,2018-02-22,목,구름 많음,562,786,1348,1.3,0.4
53,2018-02-23,금,구름 조금,490,589,1079,4.2,3.7
54,2018-02-24,토,구름 많음,2125,1237,3362,2.4,
55,2018-02-25,일,맑음,4517,1622,6139,1.9,
56,2018-02-26,월,구름 조금,1417,835,2252,3.1,
57,2018-02-27,화,흐림,769,748,1517,4.2,
58,2018-02-28,수,비,168,458,626,4.6,25.0
59,2018-03-01,목,맑음,2320,970,3290,,
60,2018-03-02,금,맑음,712,788,1500,,
61,2018-03-03,토,구름 많음,10711,3829,14540,,
62,2018-03-04,일,흐림,2268,1351,3619,-0.2,0.5
63,2018-03-05,월,구름 조금,546,503,1049,-0.7,
64,2018-03-06,화,구름 조금,739,1012,1751,7.9,0.0
65,2018-03-07,수,구름 많음,583,851,1434,9.8,11.5
66,2018-03-08,목,흐림,139,465,604,5.5,3.5
67,2018-03-09,금,구름 조금,495,871,1366,4.5,
68,2018-03-10,토,구름 조금,7513,3210,10723,6.4,0.5
69,2018-03-11,일,구름 조금,11235,3277,14512,4.6,4.0
70,2018-03-12,월,맑음,818,737,1555,4.5,
71,2018-03-13,화,구름 조금,889,930,1819,4.6,
72,2018-03-14,수,구름 조금,1872,1160,3032,6.4,
73,2018-03-15,목,비,82,308,390,8.0,
74,2018-03-16,금,맑음,1118,983,2101,12.4,
75,2018-03-17,토,구름 많음,17044,4667,21711,17.0,
76,2018-03-18,일,흐림,8256,3084,11340,12.4,27.0
77,2018-03-19,월,구름 조금,295,490,785,7.1,
78,2018-03-20,화,구름 많음,377,851,1228,6.6,
79,2018-03-21,수,눈,1673,511,2184,8.2,0.5
80,2018-03-22,목,맑음,603,956,1559,8.0,1.0
81,2018-03-23,금,구름 조금,1002,920,1922,4.7,
82,2018-03-24,토,구름 조금,6364,2054,8418,2.1,1.0
83,2018-03-25,일,맑음,5576,1758,7334,4.9,
84,2018-03-26,월,맑음,621,606,1227,6.1,
85,2018-03-27,화,구름 조금,560,737,1297,7.6,
86,2018-03-28,수,구름 조금,964,866,1830,9.6,
87,2018-03-29,목,구름 조금,725,863,1588,11.0,
88,2018-03-30,금,맑음,2395,1275,3670,13.3,
89,2018-03-31,토,구름 조금,17894,6715,24609,14.0,
90,2018-04-01,일,흐림,10899,4222,15121,15.4,
91,2018-04-02,월,,1818,967,2785,14.8,
92,2018-04-03,화,,2140,1549,3689,14.0,
93,2018-04-04,수,,1585,990,2575,15.6,
94,2018-04-05,목,,559,433,992,18.4,
95,2018-04-06,금,구름 많음,2933,987,3920,17.8,0.1
96,2018-04-07,토,구름 많음,9469,3272,12741,13.4,18.5
97,2018-04-08,일,흐림,9341,3342,12683,7.6,10.5
98,2018-04-09,월,구름 조금,3844,1931,5775,5.8,6.5
